id,brokerid,clientid,institutionid,loanamount,rate,cbscore,province,city,occupancy,product,purpose,status,date
123456,14,2718,16,100000,0.0664,865,BC,Vancouver,Owner Occupied,HELOC,refinance,funded,2022-01-09
123457,33,1925,16,220000,0.0684,584,AB,Calgary,Owner Occupied,HELOC,refinance,approved,2022-02-13
123458,3,1219,8,350000,0.0704,656,MB,Winnipeg,Rental ,First Mortgage,refinance,cancelled,2022-03-06
123459,16,2683,15,450000,0.0704,659,ON,Brampton,Rental,First Mortgage,refinance,declined,2022-03-10
123460,7,2935,3,1000000,0.0714,482,SK,Saskatoon,Rental,First Mortgage,refinance,funded,2022-03-29
123461,2,2938,9,1200000,0.0724,872,NL,St. Johns,Owner Occupied,First Mortgage,refinance,approved,2022-04-25
123462,26,1451,18,300000,0.0724,778,PEI,Charlottetown,Rental ,First Mortgage,refinance,cancelled,2022-05-03
123463,4,1183,1,605000,0.0734,542,NS,Halifax,Rental,Second Mortgage,refinance,declined,2022-05-04
123464,16,2594,13,610000,0.0744,549,BC,Burnaby,Owner Occupied,HELOC,refinance,declined,2022-05-29
123465,16,1518,7,515000,0.0754,489,AB,Red Deer,Owner Occupied,HELOC,refinance,declined,2022-06-12
123466,20,1456,10,420000,0.0764,748,MB,Winnipeg,Rental ,HELOC,refinance,declined,2022-06-20
123467,24,1471,2,450000,0.0809,745,ON,Oakville,Rental,First Mortgage,refinance,declined,2022-07-13
123468,23,1947,10,780000,0.0699,685,SK,Regina,Owner Occupied,HELOC,refinance,approved,2022-07-28
123469,6,2528,2,790000,0.0794,658,NL,St. Johns,Owner Occupied,First Mortgage,refinance,approved,2022-08-02
123470,5,2277,3,760000,0.0789,689,PEI,Charlottetown,Rental ,Second Mortgage,refinance,approved,2022-08-09
123471,34,1200,2,450000,0.0689,487,NS,Halifax,Rental,Second Mortgage,refinance,approved,2022-09-07
123472,31,1882,10,120000,0.0659,785,BC,Langley,Owner Occupied,HELOC,refinance,approved,2022-09-08
123473,29,2122,2,140000,0.0699,848,AB,Red Deer,Owner Occupied,Second Mortgage,refinance,approved,2022-10-06
123474,34,2815,2,865000,0.0799,858,MB,Winnipeg,Rental ,First Mortgage,refinance,approved,2022-10-17
123475,17,1474,5,730500,0.0789,867,ON,Toronto,Rental,HELOC,refinance,approved,2022-11-28
123476,6,2476,7,345000,0.0779,785,SK,Saskatoon,Owner Occupied,HELOC,refinance,approved,2022-12-05
123477,4,2219,7,456500,0.0769,598,NL,St. Johns,Owner Occupied,First Mortgage,refinance,approved,2022-12-12
123478,18,1021,17,340950,0.0759,487,PEI,Charlottetown,Rental ,Second Mortgage,refinance,approved,2022-12-13
123479,9,2411,15,240950,0.0699,798,NS,Halifax,Rental,HELOC,refinance,cancelled,2022-12-19
123480,10,2624,11,100000,0.0689,984,BC,Surrey,Owner Occupied,First Mortgage,refinance,cancelled,2022-12-25
123481,4,2969,4,220000,0.0679,458,AB,Edmonton,Owner Occupied,HELOC,refinance,cancelled,2022-02-14
123482,22,1982,11,350000,0.0669,788,ON,Kingston,Owner Occupied,First Mortgage,refinance,funded,2022-02-22
123483,33,2827,13,450000,0.0809,548,BC,Abbotsford,Owner Occupied,First Mortgage,refinance,funded,2022-03-02
123484,20,2650,3,1000000,0.0814,645,AB,Medicine Hat,Owner Occupied,First Mortgage,refinance,funded,2022-03-27
123485,13,1870,4,1200000,0.0814,545,ON,Hamilton,Owner Occupied,Second Mortgage,refinance,funded,2022-04-10
123486,8,1136,9,300000,0.0689,688,BC,Kamloops,Owner Occupied,HELOC,refinance,funded,2022-04-11
123487,14,1983,15,605000,0.0654,479,AB,Lethbridge,Owner Occupied,First Mortgage,Purchase,funded,2022-04-14
123488,13,1370,14,670500,0.0684,687,ON,Ottawa,Owner Occupied,First Mortgage,Purchase,funded,2022-05-12
123489,16,1445,14,325100,0.0674,678,BC,Victoria,Owner Occupied,First Mortgage,Purchase,funded,2022-05-24
123490,18,1865,12,450510,0.0809,574,AB,Airdrie,Owner Occupied,First Mortgage,Purchase,funded,2022-05-25
123491,30,1079,5,1500500,0.0714,647,ON,Oshawa,Owner Occupied,First Mortgage,Purchase,funded,2022-06-02
123492,26,1806,18,1300500,0.0714,857,BC,Nanaimo,Owner Occupied,First Mortgage,Purchase,funded,2022-06-13
123493,21,2031,8,1230000,0.0734,8748,AB,Canmore,Owner Occupied,Second Mortgage,Refinance,funded,2022-06-28
123494,9,1860,4,560500,0.0734,848,ON,Barrie,Owner Occupied,First Mortgage,Purchase,funded,2022-07-11
123495,24,2932,10,460000,0.0744,858,BC,Mission,Owner Occupied,First Mortgage,Purchase,funded,2022-07-12
123496,1,1279,7,458000,0.0754,979,AB,Calgary,Owner Occupied,Second Mortgage,refinance,funded,2022-08-08
123497,27,1035,8,230950,0.0764,673,ON,Ajax,Owner Occupied,HELOC,refinance,funded,2022-08-16
123498,5,2007,8,569500,0.0774,451,BC,Vernon,Owner Occupied,First Mortgage,refinance,funded,2022-08-18
123499,22,1110,13,395500,0.0784,548,AB,Edmonton,Owner Occupied,HELOC,refinance,funded,2022-08-30
123500,15,1190,12,604600,0.0794,897,ON,Ajax,Owner Occupied,First Mortgage,Purchase,funded,2022-09-07
123501,3,1894,5,294000,0.0664,874,BC,Courtenay,Owner Occupied,First Mortgage,Purchase,funded,2022-09-15
123502,8,2638,5,239500,0.0674,645,AB,Airdrie,Owner Occupied,First Mortgage,Purchase,funded,2022-09-20
123503,27,2266,14,239000,0.0684,547,ON,Markham,Owner Occupied,HELOC,refinance,funded,2022-10-17
123504,8,1115,18,129500,0.0694,874,BC,Prince George,Owner Occupied,First Mortgage,Purchase,funded,2022-11-16
123505,13,2774,17,708300,0.0669,800,AB,Cochrane,Owner Occupied,First Mortgage,Purchase,funded,2022-11-30
123506,10,2983,12,962000,0.0679,650,ON,Markham,Owner Occupied,Second Mortgage,refinance,funded,2022-01-02
123507,18,1267,10,999000,0.0689,870,BC,Chilliwack,Owner Occupied,Second Mortgage,refinance,funded,2022-01-10
123508,26,1542,10,888000,0.0699,800,AB,Chestermere,Owner Occupied,Second Mortgage,refinance,funded,2022-01-17
123509,13,1531,11,777000,0.0709,710,ON,Newmarket,Owner Occupied,First Mortgage,refinance,funded,2022-01-19
123510,31,1422,9,230000,0.0719,711,BC,Port Alberni,Owner Occupied,Second Mortgage,refinance,funded,2022-01-27
123511,23,2169,9,666000,0.0729,510,AB,Chestermere,Owner Occupied,First Mortgage,Purchase,funded,2022-01-30
123512,11,2396,7,450000,0.0739,650,ON,Newmarket,Owner Occupied,First Mortgage,Purchase,funded,2022-02-14
123513,2,2024,6,555000,0.0749,505,BC,Port Alberni,Owner Occupied,Second Mortgage,refinance,funded,2022-02-20
123514,3,2758,11,444000,0.0759,567,AB,Calgary,Owner Occupied,First Mortgage,Purchase,funded,2022-02-28
123515,22,2026,13,333000,0.0769,598,ON,Brantford,Owner Occupied,HELOC,refinance,approved,2022-03-21
123516,20,1668,9,205000,0.0779,548,BC,Kamloops,Owner Occupied,First Mortgage,Purchase,cancelled,2022-04-07
123517,10,2742,11,111000,0.0789,874,AB,Calgary,Owner Occupied,First Mortgage,Purchase,declined,2022-06-09
123518,22,2936,12,123000,0.0799,568,ON,Brantford,Owner Occupied,First Mortgage,Purchase,funded,2022-06-13
123519,21,1961,15,234000,0.0664,568,BC,Langley,Owner Occupied,First Mortgage,Purchase,approved,2022-06-19
123520,4,2292,7,345000,0.0674,578,AB,Calgary,Owner Occupied,HELOC,refinance,cancelled,2022-06-23
123521,27,2372,8,456000,0.0684,785,ON,Brantford,Owner Occupied,First Mortgage,refinance,declined,2022-06-28
123522,17,2381,4,567000,0.0694,648,BC,Coquitlam,Owner Occupied,HELOC,refinance,funded,2022-07-10
